action step time_in_state q sp state_reward transition_reward
[serve_last] 162 0.37732174614406705 0 1 0.0 0.0
[request] 163 0.0027386723613770938 1 2 1.0 0.0
[serve_last] 164 0.07189278420894983 0 1 0.0 0.0
[request] 165 0.002929802784861297 1 2 1.0 0.0
[serve_last] 166 0.04935122153048866 0 1 0.0 0.0
[request] 167 0.004374214598827448 1 2 1.0 0.0
[serve_last] 168 1.4896000535045328 0 1 0.0 0.0
[request] 169 0.0030431997762953807 1 2 1.0 0.0
[serve_last] 170 0.4447181009538412 0 1 0.0 0.0
[request] 171 0.01196776891922283 1 2 1.0 0.0
[serve_last] 172 0.198822536820029 0 1 0.0 0.0
[request] 173 0.004352113614489225 1 2 1.0 0.0
[serve_last] 174 0.2592026346015904 0 1 0.0 0.0
[request] 175 0.00938394178200899 1 2 1.0 0.0
[serve_last] 176 0.2974861708264298 0 1 0.0 0.0
[request] 177 0.011805004240429781 1 2 1.0 0.0
[serve_last] 178 0.11893852454543039 0 1 0.0 0.0
[request] 179 0.007396414238505184 1 2 1.0 0.0
[serve_last] 180 0.15154194582874947 0 1 0.0 0.0
[request] 181 0.0013476136978947176 1 2 1.0 0.0
[serve_last] 182 1.3356229015237078 0 1 0.0 0.0
[request] 183 0.010384865717373086 1 2 1.0 0.0
[serve_last] 184 0.7637145213040946 0 1 0.0 0.0
[request] 185 0.016401585116529296 1 2 1.0 0.0
[serve_last] 186 0.3104672406564536 0 1 0.0 0.0
[request] 187 0.01231415731465144 1 2 1.0 0.0
[serve_last] 188 0.5475715877848132 0 1 0.0 0.0
[request] 189 0.0032621235636153397 1 2 1.0 0.0
[serve_last] 190 0.6331221423438352 0 1 0.0 0.0
[request] 191 0.002938077162390549 1 2 1.0 0.0
[serve_last] 192 0.657988298432607 0 1 0.0 0.0
[request] 193 0.008564266521055956 1 2 1.0 0.0
[serve_last] 194 0.3370839998062114 0 1 0.0 0.0
[request] 195 0.013978939513385304 1 2 1.0 0.0
[serve_last] 196 0.11744925640452536 0 1 0.0 0.0
[request] 197 2.402361791323934E-5 1 2 1.0 0.0
[serve_last] 198 0.6415651113978698 0 1 0.0 0.0
[request] 199 0.005241464415857532 1 2 1.0 0.0
[serve_last] 200 1.0615484027601618 0 1 0.0 0.0
[request] 201 0.010278931057532106 1 2 1.0 0.0
[serve_last] 202 0.4430824471822894 0 1 0.0 0.0
[request] 203 0.0010484594251086925 1 2 1.0 0.0
[serve_last] 204 0.78561582206313 0 1 0.0 0.0
[request] 205 0.00722858363809048 1 2 1.0 0.0
[serve_last] 206 0.9994903856152724 0 1 0.0 0.0
[request] 207 0.0018123623113862806 1 2 1.0 0.0
[serve_last] 208 0.17539524234407927 0 1 0.0 0.0
[request] 209 0.006198871530374434 1 2 1.0 0.0
[serve_last] 210 0.8044516890001229 0 1 0.0 0.0
[request] 211 8.40877660434794E-5 1 2 1.0 0.0
[serve_last] 212 0.7568517256756515 0 1 0.0 0.0
[request] 213 0.022985063287537882 1 2 1.0 0.0
[serve_last] 214 0.7067586406434521 0 1 0.0 0.0
[request] 215 0.027905726691444827 1 2 1.0 0.0
[serve_last] 216 0.6951083163659266 0 1 0.0 0.0
[request] 217 0.023938538975833305 1 2 1.0 0.0
[serve_last] 218 0.6892865790715608 0 1 0.0 0.0
[request] 219 0.005958238657067312 1 2 1.0 0.0
[serve_last] 220 0.4340509467231454 0 1 0.0 0.0
[request] 221 0.0028559703336481193 1 2 1.0 0.0
[serve_last] 222 0.11587318446931966 0 1 0.0 0.0
[request] 223 0.009067724026148498 1 2 1.0 0.0
[serve_last] 224 0.34549837051401566 0 1 0.0 0.0
[request] 225 0.005711842144293145 1 2 1.0 0.0
[serve_last] 226 0.03841620911456516 0 1 0.0 0.0
[request] 227 0.027613627635124427 1 2 1.0 0.0
[serve_last] 228 0.7507466070776094 0 1 0.0 0.0
[request] 229 0.004065452428203457 1 2 1.0 0.0
[serve_last] 230 0.412042710719065 0 1 0.0 0.0
[request] 231 0.03748384063147698 1 2 1.0 0.0
[serve_last] 232 0.382194728526123 0 1 0.0 0.0
[request] 233 0.007908189388013713 1 2 1.0 0.0
[serve_last] 234 0.3654703681387894 0 1 0.0 0.0
[request] 235 0.005705708567642556 1 2 1.0 0.0
[serve_last] 236 0.9813607087461141 0 1 0.0 0.0
[request] 237 0.008783239669763382 1 2 1.0 0.0
[serve_last] 238 0.24749497587458436 0 1 0.0 0.0
[request] 239 0.0067652677445867405 1 2 1.0 0.0
[serve_last] 240 0.5331577288823289 0 1 0.0 0.0
[request] 241 0.009982539601015097 1 2 1.0 0.0
[serve_last] 242 0.3349003584974981 0 1 0.0 0.0
[request] 243 0.004003104685189637 1 2 1.0 0.0
[serve_last] 244 0.8575127100011968 0 1 0.0 0.0
[request] 245 0.006056821642651467 1 2 1.0 0.0
[serve_last] 246 1.742229159423329 0 1 0.0 0.0
[request] 247 0.01821883423015168 1 2 1.0 0.0
[serve_last] 248 0.5739024258491219 0 1 0.0 0.0
[request] 249 3.3342163712223727E-4 1 2 1.0 0.0
[serve_last] 250 1.2052920703519574 0 1 0.0 0.0
[request] 251 0.0011272854143421964 1 2 1.0 0.0
[serve_last] 252 1.3529463439267195 0 1 0.0 0.0
[request] 253 0.004725735019262544 1 2 1.0 0.0
[serve_last] 254 0.037345330988380276 0 1 0.0 0.0
[request] 255 0.001772527706756985 1 2 1.0 0.0
[serve_last] 256 0.3057089631468961 0 1 0.0 0.0
[request] 257 0.00755284168286016 1 2 1.0 0.0
[serve_last] 258 0.35154178487095783 0 1 0.0 0.0
[request] 259 0.010443502294239501 1 2 1.0 0.0
[serve_last] 260 0.5570560598166836 0 1 0.0 0.0
[request] 261 0.01614688708278515 1 2 1.0 0.0
[serve_last] 262 1.5563793339604526 0 1 0.0 0.0
[request] 263 0.01336164591235103 1 2 1.0 0.0
[serve_last] 264 0.04660175997422405 0 1 0.0 0.0
[request] 265 0.004368442382115174 1 2 1.0 0.0
[serve_last] 266 0.3720983610357542 0 1 0.0 0.0
[request] 267 0.0043747570589952565 1 2 1.0 0.0
[serve_last] 268 0.005603829052833637 0 1 0.0 0.0
[request] 269 0.008274731873781336 1 2 1.0 0.0
[serve_last] 270 1.9898242041741139 0 1 0.0 0.0
[request] 271 0.0013269241263211245 1 2 1.0 0.0
[serve_last] 272 1.0397322948312184 0 1 0.0 0.0
[request] 273 4.1323712266784154E-4 1 2 1.0 0.0
[serve_last] 274 1.2116262732932783 0 1 0.0 0.0
[request] 275 0.012524055380403916 1 2 1.0 0.0
[serve_last] 276 1.1539350622553577 0 1 0.0 0.0
[request] 277 0.009360996582650249 1 2 1.0 0.0
[serve_last] 278 0.14211398708446932 0 1 0.0 0.0
[request] 279 0.012403526556418777 1 2 1.0 0.0
[serve_last] 280 0.24330118441383045 0 1 0.0 0.0
[request] 281 0.007628338049151857 1 2 1.0 0.0
[serve_last] 282 0.6526562973298127 0 1 0.0 0.0
[request] 283 0.004639455438502895 1 2 1.0 0.0
[serve_last] 284 0.8936532144233034 0 1 0.0 0.0
[request] 285 0.0012524822608649155 1 2 1.0 0.0
[serve_last] 286 0.9047832848683632 0 1 0.0 0.0
[request] 287 0.006230465062484747 1 2 1.0 0.0
[serve_last] 288 0.1253231309708817 0 1 0.0 0.0
[request] 289 0.01438659984079693 1 2 1.0 0.0
[serve_last] 290 0.01197683713343719 0 1 0.0 0.0
[request] 291 0.004338212441580316 1 2 1.0 0.0
[serve_last] 292 0.4180924291235018 0 1 0.0 0.0
[request] 293 0.006641100187314406 1 2 1.0 0.0
[serve_last] 294 0.4141010230645608 0 1 0.0 0.0
[request] 295 0.011171374060635269 1 2 1.0 0.0
[serve_last] 296 0.11947309829342294 0 1 0.0 0.0
[request] 297 0.003608488007796551 1 2 1.0 0.0
[serve_last] 298 0.06851837605081758 0 1 0.0 0.0
[request] 299 0.009111634555052263 1 2 1.0 0.0
[serve_last] 300 0.3542798164804755 0 1 0.0 0.0
[request] 301 0.002391777329795918 1 2 1.0 0.0
[serve_last] 302 3.061334457755198 0 1 0.0 0.0
[request] 303 1.302219952045879E-4 1 2 1.0 0.0
[serve_last] 304 0.2510861827289277 0 1 0.0 0.0
[request] 305 0.0019665954196306725 1 2 1.0 0.0
[serve_last] 306 0.1212288652940187 0 1 0.0 0.0
[request] 307 0.007249276687615103 1 2 1.0 0.0
[serve_last] 308 0.8711538392630365 0 1 0.0 0.0
[request] 309 0.007252213860201315 1 2 1.0 0.0
[serve_last] 310 0.2235891276988652 0 1 0.0 0.0
[request] 311 0.004257396405722014 1 2 1.0 0.0
[serve_last] 312 0.2175075416146128 0 1 0.0 0.0
[request] 313 0.0024819243507825635 1 2 1.0 0.0
[serve_last] 314 0.7192027085473864 0 1 0.0 0.0
[request] 315 0.0018631484324604132 1 2 1.0 0.0
[serve_last] 316 0.03062278201404232 0 1 0.0 0.0
[request] 317 0.010426179490293912 1 2 1.0 0.0
[serve_last] 318 0.35096222425139845 0 1 0.0 0.0
[request] 319 0.0019860004759555826 1 2 1.0 0.0
[serve_last] 320 0.5377407298504934 0 1 0.0 0.0
[request] 321 0.008438974029766252 1 2 1.0 0.0
[serve_last] 322 3.2078799652164878 0 1 0.0 0.0
[request] 323 0.0162677793705633 1 2 1.0 0.0
[serve_last] 324 0.4385137211830992 0 1 0.0 0.0
